ASN,Time,GT,CC
7018,18:00-18:40,0,0
7029,18:00-18:40,0,0
7132,18:00-18:40,0,0
7303,18:00-18:40,0,0
7385,18:00-18:40,0,0
7418,18:00-18:40,0,0
7470,18:00-18:40,0,0
7482,18:00-18:40,0,0
7491,18:00-18:40,0,0
7497,18:00-18:40,0,0
7522,18:00-18:40,0,0
7545,18:00-18:40,0,0
7552,18:00-18:40,0,0
7602,18:00-18:40,0,0
7616,18:00-18:40,0,0
7629,18:00-18:40,0,0
7633,18:00-18:40,0,0
7643,18:00-18:40,0,0
7657,18:00-18:40,0,0
7693,18:00-18:40,0,0
7725,18:00-18:40,0,0
7738,18:00-18:40,0,0
7757,18:00-18:40,0,0
7782,18:00-18:40,0,0
7794,18:00-18:40,0,0
7795,18:00-18:40,0,0
7843,18:00-18:40,0,0
7908,18:00-18:40,0,0
7992,18:00-18:40,0,0
8048,18:00-18:40,0,0
8065,18:00-18:40,0,0
8151,18:00-18:40,0,0
8167,18:00-18:40,0,0
8220,18:00-18:40,0,0
8228,18:00-18:40,0,0
8342,18:00-18:40,0,0
8359,18:00-18:40,0,0
8369,18:00-18:40,0,0
8374,18:00-18:40,0,0
8376,18:00-18:40,0,0
8386,18:00-18:40,0,0
8400,18:00-18:40,0,0
8402,18:00-18:40,0,0
8404,18:00-18:40,0,0
8422,18:00-18:40,0,0
8426,18:00-18:40,0,0
8447,18:00-18:40,0,0
8448,18:00-18:40,0,0
8452,18:00-18:40,0,0
8468,18:00-18:40,0,0
8473,18:00-18:40,0,0
8513,18:00-18:40,0,0
8514,18:00-18:40,0,0
8517,18:00-18:40,0,0
8551,18:00-18:40,0,0
8570,18:00-18:40,0,0
8584,18:00-18:40,0,0
8591,18:00-18:40,0,0
8612,18:00-18:40,0,0
8615,18:00-18:40,0,0
8675,18:00-18:40,0,0
8708,18:00-18:40,0,0
8717,18:00-18:40,0,0
8732,18:00-18:40,0,0
8737,18:00-18:40,0,0
8764,18:00-18:40,0,0
8767,18:00-18:40,0,0
8866,18:00-18:40,0,0
8881,18:00-18:40,0,0
8926,18:00-18:40,0,0
8928,18:00-18:40,0,0
8968,18:00-18:40,0,0
8997,18:00-18:40,0,0
9050,18:00-18:40,0,0
9070,18:00-18:40,0,0
9105,18:00-18:40,0,0
9116,18:00-18:40,0,0
9117,18:00-18:40,0,0
9121,18:00-18:40,0,0
9141,18:00-18:40,0,0
9143,18:00-18:40,0,0
9145,18:00-18:40,0,0
9146,18:00-18:40,0,0
9155,18:00-18:40,0,0
9198,18:00-18:40,0,0
9269,18:00-18:40,0,0
9299,18:00-18:40,0,0
9304,18:00-18:40,0,0
9316,18:00-18:40,0,0
9318,18:00-18:40,0,0
9329,18:00-18:40,0,0
9394,18:00-18:40,0,0
9416,18:00-18:40,0,0
9443,18:00-18:40,0,0
9497,18:00-18:40,0,0
9498,18:00-18:40,0,0
9506,18:00-18:40,0,0
9534,18:00-18:40,0,0
9541,18:00-18:40,0,0
9543,18:00-18:40,0,0
9556,18:00-18:40,0,0
9583,18:00-18:40,0,0
9595,18:00-18:40,0,0
9644,18:00-18:40,0,0
9658,18:00-18:40,0,0
9674,18:00-18:40,0,0
9689,18:00-18:40,0,0
9737,18:00-18:40,0,0
9756,18:00-18:40,0,0
9800,18:00-18:40,0,0
9808,18:00-18:40,0,0
9812,18:00-18:40,0,0
9814,18:00-18:40,0,0
9824,18:00-18:40,0,0
9829,18:00-18:40,0,0
9848,18:00-18:40,0,0
9908,18:00-18:40,0,0
9919,18:00-18:40,0,0
9924,18:00-18:40,0,0
9929,18:00-18:40,0,0
9930,18:00-18:40,1,0
9931,18:00-18:40,0,0
10010,18:00-18:40,0,0
10013,18:00-18:40,0,0
10049,18:00-18:40,0,0
10081,18:00-18:40,0,0
10091,18:00-18:40,0,0
10094,18:00-18:40,0,0
10139,18:00-18:40,0,0
10143,18:00-18:40,0,0
10164,18:00-18:40,0,0
10199,18:00-18:40,0,0
10201,18:00-18:40,0,0
10297,18:00-18:40,0,0
10318,18:00-18:40,0,0
10396,18:00-18:40,0,0
10397,18:00-18:40,0,0
10429,18:00-18:40,0,0
10481,18:00-18:40,0,0
10620,18:00-18:40,0,0
10796,18:00-18:40,0,0
10834,18:00-18:40,0,0
10838,18:00-18:40,0,0
10994,18:00-18:40,0,0
11060,18:00-18:40,0,0
11139,18:00-18:40,0,0
11172,18:00-18:40,0,0
11315,18:00-18:40,1,0
11351,18:00-18:40,0,0
11398,18:00-18:40,0,0
11426,18:00-18:40,0,0
11427,18:00-18:40,0,0
11456,18:00-18:40,0,0
11479,18:00-18:40,0,0
11492,18:00-18:40,0,0
11530,18:00-18:40,0,0
11556,18:00-18:40,0,0
11664,18:00-18:40,0,0
11830,18:00-18:40,0,0
11888,18:00-18:40,0,0
11955,18:00-18:40,0,0
11979,18:00-18:40,0,0
11992,18:00-18:40,0,0
12262,18:00-18:40,0,0
12271,18:00-18:40,0,0
12301,18:00-18:40,0,0
12302,18:00-18:40,0,0
12322,18:00-18:40,0,0
12332,18:00-18:40,0,0
12334,18:00-18:40,0,0
12338,18:00-18:40,0,0
12353,18:00-18:40,0,0
12357,18:00-18:40,0,0
12361,18:00-18:40,0,0
12389,18:00-18:40,0,0
12430,18:00-18:40,0,0
12476,18:00-18:40,0,0
12479,18:00-18:40,0,0
12493,18:00-18:40,0,0
12513,18:00-18:40,0,0
12530,18:00-18:40,0,0
12542,18:00-18:40,0,0
12552,18:00-18:40,0,0
12576,18:00-18:40,0,0
12578,18:00-18:40,0,0
12594,18:00-18:40,0,0
12615,18:00-18:40,0,0
12635,18:00-18:40,0,0
12670,18:00-18:40,0,0
12683,18:00-18:40,0,0
12695,18:00-18:40,0,0
12705,18:00-18:40,0,0
12714,18:00-18:40,0,0
12715,18:00-18:40,0,0
12741,18:00-18:40,0,0
12772,18:00-18:40,0,0
12810,18:00-18:40,0,0
12874,18:00-18:40,0,0
12876,18:00-18:40,0,0
12880,18:00-18:40,0,0
12883,18:00-18:40,0,0
12912,18:00-18:40,0,0
12926,18:00-18:40,0,0
12946,18:00-18:40,0,0
12958,18:00-18:40,0,0
12970,18:00-18:40,0,0
12975,18:00-18:40,0,0
12978,18:00-18:40,0,0
13036,18:00-18:40,0,0
13037,18:00-18:40,0,0
13110,18:00-18:40,0,0
13118,18:00-18:40,0,0
13124,18:00-18:40,0,0
13127,18:00-18:40,0,0
13156,18:00-18:40,0,0
13184,18:00-18:40,0,0
13194,18:00-18:40,0,0
13280,18:00-18:40,0,0
13285,18:00-18:40,0,0
13343,18:00-18:40,0,0
13367,18:00-18:40,0,0
13489,18:00-18:40,0,0
13609,18:00-18:40,0,0
13768,18:00-18:40,0,0
13999,18:00-18:40,0,0
14000,18:00-18:40,0,0
14080,18:00-18:40,0,0
14117,18:00-18:40,0,0
14259,18:00-18:40,0,0
14265,18:00-18:40,0,0
14359,18:00-18:40,0,0
14390,18:00-18:40,0,0
14420,18:00-18:40,0.5,0
14522,18:00-18:40,0,0
14571,18:00-18:40,0,0
14855,18:00-18:40,0,0
14989,18:00-18:40,0,0
15169,18:00-18:40,0,0
15180,18:00-18:40,0,0
15206,18:00-18:40,0,0
15290,18:00-18:40,0,0
15311,18:00-18:40,0,0
15419,18:00-18:40,0,0
15435,18:00-18:40,0,0
15475,18:00-18:40,0,0
15500,18:00-18:40,0,0
15525,18:00-18:40,0,0
15557,18:00-18:40,0,0
15589,18:00-18:40,0,0
15640,18:00-18:40,0,0
15706,18:00-18:40,0,0
15709,18:00-18:40,0,0
15732,18:00-18:40,0.5,0
15802,18:00-18:40,0,0
15857,18:00-18:40,0,0
15895,18:00-18:40,0,0
16086,18:00-18:40,0,0
16097,18:00-18:40,0,0
16135,18:00-18:40,0,0
16232,18:00-18:40,0,0
16265,18:00-18:40,0,0
16276,18:00-18:40,0,0
16322,18:00-18:40,0,0
16333,18:00-18:40,0,0
16338,18:00-18:40,0,0
16629,18:00-18:40,0,0
16637,18:00-18:40,0,0
16735,18:00-18:40,0,0
16810,18:00-18:40,0,0
16814,18:00-18:40,0,0
17184,18:00-18:40,0,0
17379,18:00-18:40,0,0
17421,18:00-18:40,0,0
17451,18:00-18:40,0,0
17486,18:00-18:40,0,0
17488,18:00-18:40,0,0
17501,18:00-18:40,0,0
17506,18:00-18:40,0,0
17511,18:00-18:40,0,0
17552,18:00-18:40,0,0
17557,18:00-18:40,0,0
17621,18:00-18:40,0,0
17622,18:00-18:40,0,0
17623,18:00-18:40,0,0
17633,18:00-18:40,0,0
