ASN,Time,GT,CC
7385,8:30-9:30,0,0
7418,8:30-9:30,0,0
7459,8:30-9:30,0,0
7470,8:30-9:30,0,0
7482,8:30-9:30,0,0
7497,8:30-9:30,0,0
7522,8:30-9:30,0,0
7545,8:30-9:30,0,0
7552,8:30-9:30,0,0
7565,8:30-9:30,0,0
7629,8:30-9:30,0,0
7657,8:30-9:30,0,0
7725,8:30-9:30,0,0
7738,8:30-9:30,0,0
7757,8:30-9:30,0,0
7782,8:30-9:30,0,0
7794,8:30-9:30,0,0
7795,8:30-9:30,0,0
7843,8:30-9:30,0,0
7922,8:30-9:30,0,0
7992,8:30-9:30,0,0
8047,8:30-9:30,0,0
8048,8:30-9:30,0,0
8075,8:30-9:30,0,0
8151,8:30-9:30,0,0
8163,8:30-9:30,0,0
8167,8:30-9:30,0,0
8220,8:30-9:30,0,0
8228,8:30-9:30,0,0
8342,8:30-9:30,0,0
8346,8:30-9:30,0,0
8359,8:30-9:30,0,0
8369,8:30-9:30,0,0
8374,8:30-9:30,0,0
8376,8:30-9:30,0,0
8386,8:30-9:30,0,0
8400,8:30-9:30,0,0
8402,8:30-9:30,0,0
8404,8:30-9:30,0,0
8422,8:30-9:30,0,0
8426,8:30-9:30,0,0
8447,8:30-9:30,0,0
8448,8:30-9:30,0,0
8452,8:30-9:30,0,0
8473,8:30-9:30,0,0
8514,8:30-9:30,0,0
8551,8:30-9:30,0,0
8570,8:30-9:30,0,0
8585,8:30-9:30,0,0
8591,8:30-9:30,0,0
8612,8:30-9:30,0,0
8615,8:30-9:30,0,0
8675,8:30-9:30,0,0
8708,8:30-9:30,0,0
8717,8:30-9:30,0,0
8728,8:30-9:30,0,0
8732,8:30-9:30,0,0
8737,8:30-9:30,0,0
8764,8:30-9:30,0,0
8767,8:30-9:30,0,0
8771,8:30-9:30,0,0
8866,8:30-9:30,0,0
8877,8:30-9:30,0,0
8881,8:30-9:30,0,0
8895,8:30-9:30,0,0
8926,8:30-9:30,0,0
8928,8:30-9:30,0,0
8953,8:30-9:30,0,0
8968,8:30-9:30,0,0
8997,8:30-9:30,0,0
9050,8:30-9:30,1,0
9070,8:30-9:30,0,0
9105,8:30-9:30,0,0
9116,8:30-9:30,0,0
9117,8:30-9:30,0,0
9121,8:30-9:30,0,0
9143,8:30-9:30,0,0
9145,8:30-9:30,0,0
9146,8:30-9:30,0,0
9155,8:30-9:30,0,0
9198,8:30-9:30,0,0
9260,8:30-9:30,0,0
9269,8:30-9:30,0,0
9286,8:30-9:30,0,0
9299,8:30-9:30,0,0
9304,8:30-9:30,0,0
9316,8:30-9:30,0,0
9318,8:30-9:30,0,0
9319,8:30-9:30,0,0
9329,8:30-9:30,0,0
9365,8:30-9:30,0,0
9381,8:30-9:30,0,0
9394,8:30-9:30,0,0
9416,8:30-9:30,0,0
9443,8:30-9:30,0,0
9457,8:30-9:30,0,0
9497,8:30-9:30,0,0
9498,8:30-9:30,1,0
9506,8:30-9:30,0,0
9534,8:30-9:30,0,0
9556,8:30-9:30,0,0
9584,8:30-9:30,0,0
9595,8:30-9:30,0,0
9644,8:30-9:30,0,0
9674,8:30-9:30,0,0
9689,8:30-9:30,0,0
9737,8:30-9:30,0,0
9756,8:30-9:30,0,0
9790,8:30-9:30,0,0
9803,8:30-9:30,0,0
9808,8:30-9:30,0.5,1
9812,8:30-9:30,0.5,1
9814,8:30-9:30,0,0
9824,8:30-9:30,0,0
9829,8:30-9:30,0,0
9848,8:30-9:30,0,0
9874,8:30-9:30,0,0
9919,8:30-9:30,0,0
9924,8:30-9:30,0,0
9929,8:30-9:30,0,0
9930,8:30-9:30,0,0
9931,8:30-9:30,0,0
9963,8:30-9:30,0,0
10010,8:30-9:30,0,0
10013,8:30-9:30,0,0
10026,8:30-9:30,0,0
10029,8:30-9:30,0,0
10030,8:30-9:30,0,0
10036,8:30-9:30,0,0
10081,8:30-9:30,0,0
10091,8:30-9:30,0,0
10094,8:30-9:30,0,0
10139,8:30-9:30,0,0
10143,8:30-9:30,0,0
10164,8:30-9:30,0,0
10199,8:30-9:30,0,0
10292,8:30-9:30,0,0
10297,8:30-9:30,0,0
10318,8:30-9:30,0,0
10396,8:30-9:30,0,0
10429,8:30-9:30,0,0
10474,8:30-9:30,0,0
10481,8:30-9:30,0,0
10507,8:30-9:30,0,0
10620,8:30-9:30,0,0
10796,8:30-9:30,0,0
10834,8:30-9:30,0,0
10838,8:30-9:30,0,0
10881,8:30-9:30,0,0
10994,8:30-9:30,0,0
11060,8:30-9:30,0,0
11139,8:30-9:30,0,0
11172,8:30-9:30,0,0
11232,8:30-9:30,0,0
11260,8:30-9:30,0,0
11290,8:30-9:30,0,0
11315,8:30-9:30,0,0
11351,8:30-9:30,0,0
11398,8:30-9:30,0,0
11426,8:30-9:30,0,0
11427,8:30-9:30,0,0
11456,8:30-9:30,1,0
11479,8:30-9:30,0,0
11492,8:30-9:30,0,0
11530,8:30-9:30,1,0
11556,8:30-9:30,0,0
11664,8:30-9:30,0,0
11776,8:30-9:30,0,0
11830,8:30-9:30,0,0
11888,8:30-9:30,0,0
11955,8:30-9:30,0,0
11976,8:30-9:30,1,0
11979,8:30-9:30,1,0
11992,8:30-9:30,1,0
12083,8:30-9:30,0,0
12262,8:30-9:30,0,0
12271,8:30-9:30,0,0
12297,8:30-9:30,0,0
12301,8:30-9:30,0,0
12302,8:30-9:30,0,0
12322,8:30-9:30,0,0
12332,8:30-9:30,0,0
12334,8:30-9:30,0,0
12338,8:30-9:30,0,0
12353,8:30-9:30,1,0
12357,8:30-9:30,1,0
12361,8:30-9:30,0,0
12389,8:30-9:30,0,0
12392,8:30-9:30,0,0
12400,8:30-9:30,0,0
12430,8:30-9:30,0,0
12476,8:30-9:30,0,0
12479,8:30-9:30,0,0
12493,8:30-9:30,0,0
12530,8:30-9:30,0,0
12542,8:30-9:30,0,0
12552,8:30-9:30,0,0
12576,8:30-9:30,0,0
12578,8:30-9:30,0,0
12594,8:30-9:30,0,0
12615,8:30-9:30,0,0
12635,8:30-9:30,0,0
12670,8:30-9:30,0,0
12683,8:30-9:30,0,0
12695,8:30-9:30,0,0
12705,8:30-9:30,0,0
12714,8:30-9:30,0,0
12715,8:30-9:30,0,0
12741,8:30-9:30,0,0
12772,8:30-9:30,0,0
12874,8:30-9:30,0,0
12880,8:30-9:30,0,0
12946,8:30-9:30,0,0
12958,8:30-9:30,0,0
12969,8:30-9:30,0,0
12975,8:30-9:30,0,0
12978,8:30-9:30,0,0
13036,8:30-9:30,0,0
13037,8:30-9:30,0,0
13046,8:30-9:30,0,0
13110,8:30-9:30,0,0
13118,8:30-9:30,0,0
13124,8:30-9:30,0,0
13127,8:30-9:30,0,0
13156,8:30-9:30,0,0
13184,8:30-9:30,0,0
13188,8:30-9:30,0,0
13272,8:30-9:30,0,0
13280,8:30-9:30,0,0
13285,8:30-9:30,0,0
13333,8:30-9:30,1,0
