ASN,Time,GT,CC
8359,14:00-15:00,0,0
8369,14:00-15:00,0,0
8374,14:00-15:00,1,0
8376,14:00-15:00,0,0
8386,14:00-15:00,0,0
8400,14:00-15:00,0,0
8402,14:00-15:00,0,0
8404,14:00-15:00,0,0
8422,14:00-15:00,0,0
8427,14:00-15:00,0,0
8447,14:00-15:00,0,0
8452,14:00-15:00,0,0
8462,14:00-15:00,0,0
8468,14:00-15:00,0,0
8473,14:00-15:00,0,0
8517,14:00-15:00,0,0
8551,14:00-15:00,1,0
8570,14:00-15:00,0,0
8585,14:00-15:00,0,0
8586,14:00-15:00,0,0
8612,14:00-15:00,0,0
8615,14:00-15:00,0,0
8708,14:00-15:00,0,0
8717,14:00-15:00,0,0
8732,14:00-15:00,0,0
8737,14:00-15:00,0,0
8764,14:00-15:00,0,0
8767,14:00-15:00,0,0
8771,14:00-15:00,0,0
8866,14:00-15:00,0,0
8877,14:00-15:00,0,0
8881,14:00-15:00,0,0
8926,14:00-15:00,0,0
8953,14:00-15:00,0,0
8968,14:00-15:00,0,0
8997,14:00-15:00,0,0
9050,14:00-15:00,0,0
9070,14:00-15:00,0,0
9105,14:00-15:00,0,0
9116,14:00-15:00,0,0
9117,14:00-15:00,0,0
9121,14:00-15:00,0,0
9143,14:00-15:00,0,0
9145,14:00-15:00,0,0
9146,14:00-15:00,1,0
9198,14:00-15:00,0,0
9260,14:00-15:00,0,0
9269,14:00-15:00,1,0
9286,14:00-15:00,0,0
9299,14:00-15:00,0,0
9304,14:00-15:00,0,0
9318,14:00-15:00,0,0
9329,14:00-15:00,0,0
9365,14:00-15:00,0,0
9381,14:00-15:00,0,0
9394,14:00-15:00,0,0
9416,14:00-15:00,0,0
9497,14:00-15:00,0,0
9498,14:00-15:00,0,0
9506,14:00-15:00,0,0
9534,14:00-15:00,1,0
9583,14:00-15:00,0,0
9584,14:00-15:00,0,0
9595,14:00-15:00,0,0
9644,14:00-15:00,0,0
9658,14:00-15:00,1,0
9674,14:00-15:00,0,0
9737,14:00-15:00,0,0
9756,14:00-15:00,0,0
9808,14:00-15:00,0,0
9812,14:00-15:00,0,0
9824,14:00-15:00,0,0
9829,14:00-15:00,0,0
9848,14:00-15:00,0,0
9874,14:00-15:00,0,0
9916,14:00-15:00,0,0
9919,14:00-15:00,0,0
9924,14:00-15:00,0,0
9929,14:00-15:00,0,0
9930,14:00-15:00,0,0
9931,14:00-15:00,0,0
9943,14:00-15:00,0.5,1
9963,14:00-15:00,0,0
10010,14:00-15:00,0,0
10013,14:00-15:00,1,0
10029,14:00-15:00,0,0
10036,14:00-15:00,0,0
10081,14:00-15:00,0,0
10091,14:00-15:00,0,0
10094,14:00-15:00,0,0
10139,14:00-15:00,0,0
10199,14:00-15:00,0,0
10201,14:00-15:00,0,0
10292,14:00-15:00,0,0
10297,14:00-15:00,0,0
10396,14:00-15:00,0,0
10429,14:00-15:00,0,0
10474,14:00-15:00,0,0
10481,14:00-15:00,0,0
10507,14:00-15:00,0,0
10620,14:00-15:00,0,0
10796,14:00-15:00,1,0
10834,14:00-15:00,0,0
10838,14:00-15:00,1,0
11060,14:00-15:00,1,0
11139,14:00-15:00,0,0
11172,14:00-15:00,0,0
11260,14:00-15:00,1,0
11315,14:00-15:00,0,0
11351,14:00-15:00,1,0
11398,14:00-15:00,0,0
11426,14:00-15:00,1,0
11427,14:00-15:00,1,0
11456,14:00-15:00,0,0
11479,14:00-15:00,0,0
11492,14:00-15:00,1,0
11664,14:00-15:00,0,0
11830,14:00-15:00,0,0
11888,14:00-15:00,0,0
11955,14:00-15:00,1,0
11979,14:00-15:00,0,0
12066,14:00-15:00,0,0
12262,14:00-15:00,1,0
12271,14:00-15:00,1,0
12297,14:00-15:00,1,0
12301,14:00-15:00,0,0
12322,14:00-15:00,0,0
12332,14:00-15:00,0,0
12334,14:00-15:00,0,0
12338,14:00-15:00,0,0
12353,14:00-15:00,0,0
