ASN,Time,GT,CC
9105,16:20-17:20,0,0
9116,16:20-17:20,0,0
9121,16:20-17:20,0,0
9132,16:20-17:20,0,0
9141,16:20-17:20,0,0
9143,16:20-17:20,0,0
9145,16:20-17:20,0,0
9146,16:20-17:20,0,0
9198,16:20-17:20,0,0
9299,16:20-17:20,0,0
9304,16:20-17:20,1,0
9318,16:20-17:20,0,0
9394,16:20-17:20,0,0
9416,16:20-17:20,0,0
9498,16:20-17:20,0,0
9506,16:20-17:20,0,0
9534,16:20-17:20,0,0
9583,16:20-17:20,0,0
9595,16:20-17:20,0,0
9644,16:20-17:20,0,0
9674,16:20-17:20,0,0
9701,16:20-17:20,0,0
9737,16:20-17:20,0,0
9756,16:20-17:20,0,0
9800,16:20-17:20,0,0
9808,16:20-17:20,0,0
9812,16:20-17:20,0,0
9829,16:20-17:20,0,0
9848,16:20-17:20,0,0
9889,16:20-17:20,0,0
9916,16:20-17:20,0,0
9919,16:20-17:20,0,0
9924,16:20-17:20,0,0
9929,16:20-17:20,0,0
9930,16:20-17:20,0,0
9931,16:20-17:20,0,0
9976,16:20-17:20,0,0
10013,16:20-17:20,0,0
10091,16:20-17:20,0,0
10297,16:20-17:20,0,0
10318,16:20-17:20,0,0
10396,16:20-17:20,0,0
10429,16:20-17:20,0,0
10481,16:20-17:20,0,0
10507,16:20-17:20,0,0
10620,16:20-17:20,0,0
10796,16:20-17:20,0,0
10834,16:20-17:20,0,0
10994,16:20-17:20,0,0
11060,16:20-17:20,0,0
11260,16:20-17:20,0,0
11351,16:20-17:20,0,0
11426,16:20-17:20,0,0
11427,16:20-17:20,0,0
11456,16:20-17:20,0,0
11479,16:20-17:20,0,0
11664,16:20-17:20,0,0
11830,16:20-17:20,0,0
11888,16:20-17:20,0,0
11955,16:20-17:20,0,0
11979,16:20-17:20,0,0
12252,16:20-17:20,0,0
12271,16:20-17:20,0,0
12301,16:20-17:20,0,0
12322,16:20-17:20,0,0
12332,16:20-17:20,0,0
12334,16:20-17:20,0,0
12338,16:20-17:20,0.5,1
12353,16:20-17:20,0,0
12357,16:20-17:20,0,0
12389,16:20-17:20,0,0
12392,16:20-17:20,0,0
12430,16:20-17:20,0,0
12476,16:20-17:20,0,0
12479,16:20-17:20,0,0
