ASN,Time,GT,CC
7011,12:00-13:00,0,0
7015,12:00-13:00,0,0
7016,12:00-13:00,0,0
7018,12:00-13:00,0,0
7029,12:00-13:00,0,0
7132,12:00-13:00,0,0
7303,12:00-13:00,0,0
7385,12:00-13:00,0,0
7418,12:00-13:00,0,0
7470,12:00-13:00,0,0
7482,12:00-13:00,0,0
7491,12:00-13:00,0,0
7497,12:00-13:00,0,0
7522,12:00-13:00,0,0
7545,12:00-13:00,0,0
7552,12:00-13:00,0,0
7602,12:00-13:00,0,0
7616,12:00-13:00,0,0
7629,12:00-13:00,0,0
7633,12:00-13:00,0,0
7643,12:00-13:00,0,0
7657,12:00-13:00,0,0
7693,12:00-13:00,0,0
7725,12:00-13:00,0,0
7738,12:00-13:00,0,0
7757,12:00-13:00,0,0
7782,12:00-13:00,0,0
7794,12:00-13:00,0,0
7843,12:00-13:00,0,0
7922,12:00-13:00,1,1
7992,12:00-13:00,0,0
8047,12:00-13:00,0,0
8048,12:00-13:00,0,0
8065,12:00-13:00,0,0
8075,12:00-13:00,0,0
8151,12:00-13:00,0,0
8167,12:00-13:00,0,0
8220,12:00-13:00,0,0
8228,12:00-13:00,0,0
8342,12:00-13:00,0,0
8346,12:00-13:00,0,0
8359,12:00-13:00,0,0
8369,12:00-13:00,0,0
8374,12:00-13:00,0,0
8376,12:00-13:00,0,0
8386,12:00-13:00,0,0
8400,12:00-13:00,0,0
8402,12:00-13:00,0,0
8404,12:00-13:00,0,0
8422,12:00-13:00,0,0
8426,12:00-13:00,0,0
8447,12:00-13:00,0,0
8448,12:00-13:00,0,0
8452,12:00-13:00,0,0
8468,12:00-13:00,0,0
8470,12:00-13:00,0,0
8473,12:00-13:00,0,0
8513,12:00-13:00,0,0
8514,12:00-13:00,0,0
8551,12:00-13:00,0,0
8584,12:00-13:00,0,0
8612,12:00-13:00,0,0
8615,12:00-13:00,0,0
8675,12:00-13:00,0,0
8708,12:00-13:00,0,0
8717,12:00-13:00,0,0
8732,12:00-13:00,0,0
8737,12:00-13:00,0,0
8764,12:00-13:00,0,0
8767,12:00-13:00,0,0
8866,12:00-13:00,0,0
8877,12:00-13:00,0,0
8881,12:00-13:00,0,0
8926,12:00-13:00,0,0
8928,12:00-13:00,0,0
8968,12:00-13:00,0,0
8970,12:00-13:00,0,0
8997,12:00-13:00,0,0
9050,12:00-13:00,0,0
9070,12:00-13:00,0,0
9105,12:00-13:00,0,0
9116,12:00-13:00,0,0
9121,12:00-13:00,0,0
9127,12:00-13:00,0,0
9141,12:00-13:00,0,0
9143,12:00-13:00,0,0
9145,12:00-13:00,0,0
9146,12:00-13:00,0,0
9155,12:00-13:00,0,0
9198,12:00-13:00,0,0
9269,12:00-13:00,0,0
9299,12:00-13:00,0,0
9304,12:00-13:00,0,0
9318,12:00-13:00,0,0
9329,12:00-13:00,0,0
9394,12:00-13:00,0,0
9416,12:00-13:00,0,0
9443,12:00-13:00,0,0
9457,12:00-13:00,0,0
9497,12:00-13:00,0,0
9498,12:00-13:00,0,0
9506,12:00-13:00,0,0
9534,12:00-13:00,0,0
9541,12:00-13:00,0,0
9543,12:00-13:00,0,0
9556,12:00-13:00,0,0
9583,12:00-13:00,0,0
9595,12:00-13:00,0,0
9658,12:00-13:00,0,0
9674,12:00-13:00,0,0
9689,12:00-13:00,0,0
9737,12:00-13:00,0,0
9756,12:00-13:00,0,0
9800,12:00-13:00,0,0
9808,12:00-13:00,0,0
9812,12:00-13:00,0,0
9814,12:00-13:00,0,0
9824,12:00-13:00,0,0
9829,12:00-13:00,0,0
9848,12:00-13:00,0,0
9908,12:00-13:00,0,0
9916,12:00-13:00,0,0
9919,12:00-13:00,0,0
9924,12:00-13:00,0,0
9929,12:00-13:00,0,0
9930,12:00-13:00,0,0
9931,12:00-13:00,0,0
9976,12:00-13:00,0,0
10013,12:00-13:00,0,0
10036,12:00-13:00,0,0
10049,12:00-13:00,0,0
10091,12:00-13:00,0,0
10094,12:00-13:00,0,0
10139,12:00-13:00,0,0
10143,12:00-13:00,0,0
10164,12:00-13:00,0,0
10199,12:00-13:00,0,0
10201,12:00-13:00,0,0
10297,12:00-13:00,0,0
10318,12:00-13:00,0,0
10396,12:00-13:00,0,0
10397,12:00-13:00,0,0
10429,12:00-13:00,0,0
10430,12:00-13:00,0,0
10481,12:00-13:00,0,0
10620,12:00-13:00,0,0
10796,12:00-13:00,0,0
10834,12:00-13:00,0,0
10838,12:00-13:00,0,0
10994,12:00-13:00,0,0
11060,12:00-13:00,0,0
11139,12:00-13:00,0,0
11172,12:00-13:00,0,0
11260,12:00-13:00,0,0
11315,12:00-13:00,0,0
11351,12:00-13:00,0,0
11398,12:00-13:00,0,0
11426,12:00-13:00,0,0
